
 num     #instances         #bytes  class name
 155:          1078          51744  java.util.concurrent.ConcurrentHashMap
 156:          3231          51696  java.util.HashMap$Values
 157:          1068          51264  org.apache.lucene.index.ByteSliceReader
 158:           914          51184  org.apache.lucene.util.fst.BytesRefFSTEnum
 159:          1593          50976  org.apache.tomcat.util.http.MimeHeaderField
 160:          1044          50112  org.apache.lucene.analysis.NumericTokenStream
 161:          1236          49440  org.apache.lucene.analysis.NumericTokenStream$NumericTermAttributeImpl
 162:          2060          49440  org.apache.lucene.analysis.Analyzer$TokenStreamComponents
 163:          2010          48240  org.apache.lucene.util.packed.Direct8
 164:          2946          47136  java.lang.ref.ReferenceQueue$Lock
 165:          1135          45400  org.wltea.analyzer.core.LetterSegmenter
 166:          1091          43640  javax.management.ObjectName
 167:          1804          43296  org.apache.lucene.search.BooleanClause
 168:          1735          41640  java.util.LinkedList$Node
 169:           639          40896  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 170:          2548          40768  java.lang.Integer
 171:          1675          40200  org.apache.lucene.index.IndexFileDeleter$RefCount
 172:          1221          39072  org.apache.solr.analysis.TokenizerChain
 173:          2371          37936  org.apache.lucene.analysis.tokenattributes.TypeAttributeImpl
 174:          1185          37920  java.util.ArrayList$Itr
 175:           780          37440  org.apache.tomcat.util.modeler.AttributeInfo
 176:           766          36768  org.apache.lucene.codecs.compressing.CompressingStoredFieldsIndexReader
 177:           766          36768  org.apache.lucene.codecs.compressing.CompressingStoredFieldsReader
 178:          1526          36624  java.io.FileDescriptor
 179:          1135          36320  org.wltea.analyzer.core.IKSegmenter
 180:          1129          36128  javax.management.MBeanAttributeInfo
 181:          2254          36064  org.apache.lucene.analysis.tokenattributes.PositionIncrementAttributeImpl
 182:           750          36000  java.nio.HeapByteBuffer
 183:          1479          35496  java.util.Collections$UnmodifiableCollection$1
 184:          1430          34320  org.apache.lucene.util.CloseableThreadLocal
 185:           601          33656  org.apache.lucene.codecs.BlockTreeTermsWriter$FieldMetaData
 186:           462          33264  org.apache.solr.schema.TextField
 187:           578          32368  org.apache.lucene.index.TermVectorsConsumerPerField
